# Agent Annotate v42.11 — all 800 currently-annotated NCTs (629 train + 86 val + 85 test)
# Generated 2026-06-03 by merging scripts/dataset_v42_11/{train_dev_corpus_5c8d0aa0431a, val_8d9398b0af66, test_b9301e02fef5}.csv
# Source jobs: 5c8d0aa0431a (train), 8d9398b0af66 (val), b9301e02fef5 (test). Pipeline v42.11.
# The Cohort column identifies the formal train/val/test split (established 2026-05-11).
Cohort,Source Job ID,NCT ID,Study Title,Study Status,Phase,Conditions,Interventions,Classification,Classification Evidence,Classification Sources,Classification Evidence Text,Delivery Mode,Delivery Mode Evidence,Delivery Mode Sources,Delivery Mode Evidence Text,Outcome,Outcome Evidence,Outcome Sources,Outcome Evidence Text,Reason for Failure,Reason for Failure Evidence,Reason for Failure Sources,Reason for Failure Evidence Text,Peptide,Peptide Evidence,Peptide Sources,Peptide Evidence Text,Sequence,Sequence Evidence,Sequence Sources,Sequence Evidence Text
train,5c8d0aa0431a,NCT00001703,Vaccine Therapy With Tumor Specific Mutated VHL Peptides in Adult Cancer Patients With Renal Cell Carcinoma,TERMINATED,PHASE2,Renal Cell Carcinoma,"BIOLOGICAL: incomplete Freund's adjuvant, BIOLOGICAL: von Hippel-Lindau peptide vaccine",Other,https://clinicaltrials.gov/study/NCT00001703; PMID:33055588; PMID:29990978; PMID:29728403; PMID:25904595; PMID:8212317; PMC:13066268; PMC:4621212; https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4650400/; https://reporter.nih.gov/search/results/?text_terms=von+Hippel-Lindau+peptide+vaccine,clinicaltrials_gov:NCT00001703; PMID:33055588; PMID:29990978; PMID:29728403; PMID:25904595; PMID:8212317; PMC:13066268; PMC:4621212; chembl:CHEMBL4650400; nih_reporter:NIH:75N91019D00020-0-759102000001-1,"About 27,000 new cases of renal cell carcinoma (RCC) are diagnosed every year in the United States. 11,000 of these cases will die from the disease. More than half of patients present with advanced...",Injection/Infusion,https://clinicaltrials.gov/study/NCT00001703,clinicaltrials_gov:NCT00001703,"BIOLOGICAL: incomplete Freund's adjuvant - 0.7 ml of ISA-51 (Montanide ISA-51 adjuvant, incomplete Freund's adjuvant) will be mixed with peptide alone and injected subcutaneously every four weeks f...",Terminated,https://clinicaltrials.gov/study/NCT00001703; PMID:41972142; PMID:27274998; https://openalex.org/W2972502791; PMID:33055588; PMID:29990978; PMID:29728403; PMID:25904595; https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4650400/; https://reporter.nih.gov/search/results/?text_terms=von+Hippel-Lindau+peptide+vaccine,clinicaltrials_gov:NCT00001703; PMID:41972142; PMID:27274998; openalex:https://doi.org/10.17615/0grg-7170; PMID:33055588; PMID:29990978; PMID:29728403; PMID:25904595; chembl:CHEMBL4650400; nih_reporter:NIH:75N91019D00020-0-759102000001-1,"About 27,000 new cases of renal cell carcinoma (RCC) are diagnosed every year in the United States. 11,000 of these cases will die from the disease. More than half of patients present with advanced...",Recruitment issues,,,,True,,,,,,,
train,5c8d0aa0431a,NCT00001705,Immunization of Patients With Metastatic Melanoma Using the GP100 Peptide Preceded by an Endoplasmic Reticulum Insertion Signal Sequence,COMPLETED,PHASE2,"Melanoma, Neoplasm Metastasis","DRUG: GP100 peptide, DRUG: IL-2",Other,https://clinicaltrials.gov/study/NCT00001705; https://openalex.org/W2341370485; PMID:11522640; PMID:20525992; PMID:9500606; https://doi.org/10.1016/j.yped.2012.03.042; https://doi.org/10.32388/rxme1f; https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=4985; https://www.ebi.ac.uk/proteins/api/proteins/A0A059V773; https://www.ebi.ac.uk/proteins/api/proteins/A0A059V9E1,clinicaltrials_gov:NCT00001705; openalex:https://doi.org/10.1200/jco.2009.27.15_suppl.cra9011; PMID:11522640; PMID:20525992; PMID:9500606; crossref:DOI:10.1016/j.yped.2012.03.042; crossref:DOI:10.32388/rxme1f; iuphar:GtoPdb:4985; ebi_proteins:A0A059V773; ebi_proteins:A0A059V9E1,Patients with metastatic melanoma who are HLA-A201+ will be immunized with a modified peptide from the gp100 molecule that contains a signal sequence designed to improve peptide presentation by ant...,Injection/Infusion,https://clinicaltrials.gov/study/NCT00001705; https://openalex.org/W2341370485; PMID:11522640; PMID:20525992; PMID:9500606; https://doi.org/10.1016/j.yped.2012.03.042; https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=4985; https://www.ebi.ac.uk/proteins/api/proteins/A0A059V773; https://www.ebi.ac.uk/proteins/api/proteins/A0A059V9E1; https://reporter.nih.gov/search/results/?text_terms=GP100+peptide,clinicaltrials_gov:NCT00001705; openalex:https://doi.org/10.1200/jco.2009.27.15_suppl.cra9011; PMID:11522640; PMID:20525992; PMID:9500606; crossref:DOI:10.1016/j.yped.2012.03.042; iuphar:GtoPdb:4985; ebi_proteins:A0A059V773; ebi_proteins:A0A059V9E1; nih_reporter:NIH:5R01CA284604-03,Patients with metastatic melanoma who are HLA-A201+ will be immunized with a modified peptide from the gp100 molecule that contains a signal sequence designed to improve peptide presentation by ant...,Positive,https://clinicaltrials.gov/study/NCT00001705; https://openalex.org/W2341370485; PMID:11522640; PMID:20525992; PMID:9500606; https://doi.org/10.1016/j.yped.2012.03.042; https://doi.org/10.32388/rxme1f; https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=4985; https://www.ebi.ac.uk/proteins/api/proteins/A0A059V773; https://www.ebi.ac.uk/proteins/api/proteins/A0A059V9E1,clinicaltrials_gov:NCT00001705; openalex:https://doi.org/10.1200/jco.2009.27.15_suppl.cra9011; PMID:11522640; PMID:20525992; PMID:9500606; crossref:DOI:10.1016/j.yped.2012.03.042; crossref:DOI:10.32388/rxme1f; iuphar:GtoPdb:4985; ebi_proteins:A0A059V773; ebi_proteins:A0A059V9E1,Patients with metastatic melanoma who are HLA-A201+ will be immunized with a modified peptide from the gp100 molecule that contains a signal sequence designed to improve peptide presentation by ant...,,,,,True,,,,,,,
train,5c8d0aa0431a,NCT00001827,Vaccine Therapy With Tumor Specific p53 Peptides in Adult Patients With Low Burden Adenocarcinoma of the Ovary,TERMINATED,PHASE2,Ovarian Neoplasm,"BIOLOGICAL: aldesleukin, BIOLOGICAL: incomplete Freund's adjuvant, BIOLOGICAL: p53 peptide vaccine, BIOLOGICAL: sargramostim, BIOLOGICAL: therapeutic autologous dendritic cells, PROCEDURE: in vitro-treated peripheral blood stem cell transplantation",Other,https://clinicaltrials.gov/study/NCT00001827; PMID:38775545; PMID:38474178; PMID:38515237; PMID:33123161; PMID:17150022; https://openalex.org/W4296793529; PMID:40447608; https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1201438/; https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4650400/,clinicaltrials_gov:NCT00001827; PMID:38775545; PMID:38474178; PMID:38515237; PMID:33123161; PMID:17150022; openalex:https://doi.org/10.3390/biology11091325; PMID:40447608; chembl:CHEMBL1201438; chembl:CHEMBL4650400,"This study will examine whether vaccination with a p53 peptide can boost an immune response to ovarian cancer and what the side effects are of the vaccine.

Many patients with ovarian cancer have a...",Injection/Infusion,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=BLA103293,fda_drugs:FDA:BLA103293,"Drug: PROLEUKIN
Sponsor: CHIRON
Application: BLA103293
FDA approved: YES
Approval dates: 2011-12-16, 2009-04-08, 2023-09-29
Generic name(s): ALDESLEUKIN
Active substance: ALDESLEUKIN
Route: INTRAVE...",Terminated,https://clinicaltrials.gov/study/NCT00001827; https://openalex.org/W4296793529; PMID:40447608; PMID:39309485; PMID:40338561; PMID:38775545; PMID:38474178; PMID:38515237; https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1201438/; iuphar:4985,clinicaltrials_gov:NCT00001827; openalex:https://doi.org/10.3390/biology11091325; PMID:40447608; PMID:39309485; PMID:40338561; PMID:38775545; PMID:38474178; PMID:38515237; chembl:CHEMBL1201438; iuphar:4985,"This study will examine whether vaccination with a p53 peptide can boost an immune response to ovarian cancer and what the side effects are of the vaccine.

Many patients with ovarian cancer have a...",Business Reason,https://clinicaltrials.gov/study/NCT00001827; PMID:38775545; PMID:38474178; PMID:38515237; PMID:33123161; PMID:17150022; https://openalex.org/W4296793529; PMID:40447608; iuphar:4985; https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1201438/,clinicaltrials_gov:NCT00001827; PMID:38775545; PMID:38474178; PMID:38515237; PMID:33123161; PMID:17150022; openalex:https://doi.org/10.3390/biology11091325; PMID:40447608; iuphar:4985; chembl:CHEMBL1201438,"This study will examine whether vaccination with a p53 peptide can boost an immune response to ovarian cancer and what the side effects are of the vaccine.

Many patients with ovarian cancer have a...",True,https://clinicaltrials.gov/study/NCT00001827; PMID:38775545; PMID:38474178; PMID:38515237; PMID:33123161; PMID:17150022; https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1201438/; https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4650400/; https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4298058/; iuphar:4985,clinicaltrials_gov:NCT00001827; PMID:38775545; PMID:38474178; PMID:38515237; PMID:33123161; PMID:17150022; chembl:CHEMBL1201438; chembl:CHEMBL4650400; chembl:CHEMBL4298058; iuphar:4985,"This study will examine whether vaccination with a p53 peptide can boost an immune response to ovarian cancer and what the side effects are of the vaccine.

Many patients with ovarian cancer have a...",,,,
train,5c8d0aa0431a,NCT00002228,"A Phase II Evaluation of the Safety, Plasma Pharmacokinetics, and Antiviral Activity of T-20 Administered to HIV-1 Positive Adults By Continuous Subcutaneous Infusion or Subcutaneous Injection",COMPLETED,PHASE2,HIV Infections,DRUG: Enfuvirtide,Other,,,,Injection/Infusion,https://clinicaltrials.gov/study/NCT00002228,clinicaltrials_gov:NCT00002228,"Title: A Phase II Evaluation of the Safety, Plasma Pharmacokinetics, and Antiviral Activity of T-20 Administered to HIV-1 Positive Adults By Continuous Subcutaneous Infusion or Subcutaneous Injecti...",Positive,https://clinicaltrials.gov/study/NCT00002228; PMID:20100092; PMID:30911587; PMID:14511246; PMID:12637625; PMID:23459007; PMID:39108330; https://www.semanticscholar.org/paper/0684ad855843d55c1d7cef1d11e8f547f664cbc1; https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL525076/; https://dbaasp.org/peptide-card?id=DBAASPS_6056,clinicaltrials_gov:NCT00002228; PMID:20100092; PMID:30911587; PMID:14511246; PMID:12637625; PMID:23459007; PMID:39108330; https://www.semanticscholar.org/paper/0684ad855843d55c1d7cef1d11e8f547f664cbc1; chembl:CHEMBL525076; dbaasp:DBAASP:DBAASPS_6056,Patients are randomly placed into 1 of 6 groups: 4 dose levels of T-20 are given by subcutaneous infusion and 2 by subcutaneous injection. The entire study lasts 7 weeks; including a 2-week screeni...,,,,,True,,,,,,,
train,5c8d0aa0431a,NCT00002363,"Study of the Safety and Effects of Two Doses of SPC3, Administered Daily Intravenously in HIV-1 Seropositive Patients",COMPLETED,PHASE1,HIV Infections,"DRUG: Peptide Construction 3, Synthetic",Other,"https://clinicaltrials.gov/study/NCT00002363; PMC:12713194; https://doi.org/10.1016/s0378-1097(99)00653-9; https://doi.org/10.1002/(sici)1099-1387(199812)4:8<479::aid-psc167>3.3.co;2-9; https://doi.org/10.1021/bi961205g; https://reporter.nih.gov/search/results/?text_terms=Peptide+Construction+3,+Synthetic",clinicaltrials_gov:NCT00002363; PMC:12713194; crossref:DOI:10.1016/s0378-1097(99)00653-9; crossref:DOI:10.1002/(sici)1099-1387(199812)4:8<479::aid-psc167>3.3.co;2-9; crossref:DOI:10.1021/bi961205g; nih_reporter:NIH:1R01AR085061-01A1; nih_reporter:NIH:2R15GM114789-03; nih_reporter:NIH:5K99CA283259-02,To assess the effects of two doses of synthetic peptide construction 3 ( SPC3 ) on HIV-1 plasma levels (as measured by RNA PCR Amplicor) and on lymphocyte subsets in patients with initial viral loa...,Injection/Infusion,https://clinicaltrials.gov/study/NCT00002363,clinicaltrials_gov:NCT00002363,"Title: Study of the Safety and Effects of Two Doses of SPC3, Administered Daily Intravenously in HIV-1 Seropositive Patients",Positive,"https://clinicaltrials.gov/study/NCT00002363; PMC:12713194; https://doi.org/10.1016/s0378-1097(99)00653-9; https://doi.org/10.1002/(sici)1099-1387(199812)4:8<479::aid-psc167>3.3.co;2-9; https://doi.org/10.1021/bi961205g; https://reporter.nih.gov/search/results/?text_terms=Peptide+Construction+3,+Synthetic",clinicaltrials_gov:NCT00002363; PMC:12713194; crossref:DOI:10.1016/s0378-1097(99)00653-9; crossref:DOI:10.1002/(sici)1099-1387(199812)4:8<479::aid-psc167>3.3.co;2-9; crossref:DOI:10.1021/bi961205g; nih_reporter:NIH:1R01AR085061-01A1; nih_reporter:NIH:2R15GM114789-03; nih_reporter:NIH:5K99CA283259-02,To assess the effects of two doses of synthetic peptide construction 3 ( SPC3 ) on HIV-1 plasma levels (as measured by RNA PCR Amplicor) and on lymphocyte subsets in patients with initial viral loa...,,,,,True,,,,,,,
train,5c8d0aa0431a,NCT00004494,Phase I Study of Vasoactive Intestinal Peptide in Patients With Acute Respiratory Distress Syndrome and Sepsis,COMPLETED,PHASE1,"Sepsis, Respiratory Distress Syndrome, Respiratory Distress Syndrome, Adult",DRUG: vasoactive intestinal peptide,Other,,,,Injection/Infusion,https://clinicaltrials.gov/study/NCT00004494,clinicaltrials_gov:NCT00004494,"PROTOCOL OUTLINE:

This is a dose escalation study.

Patients receive vasoactive intestinal peptide (VIP) IV over either 6 or 12 hours.

Cohorts of 3 patients each receive escalating doses of VIP o...",Positive,https://clinicaltrials.gov/study/NCT00004494; PMID:37657844; https://openalex.org/W4241074170; PMID:23162538; PMID:22991228; PMID:17934101; PMID:32962406; PMID:31026365; https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL525028/; https://www.uniprot.org/uniprotkb/P01282,clinicaltrials_gov:NCT00004494; PMID:37657844; openalex:https://doi.org/10.21203/rs.3.rs-52237/v1; PMID:23162538; PMID:22991228; PMID:17934101; PMID:32962406; PMID:31026365; chembl:CHEMBL525028; uniprot:P01282,"PROTOCOL OUTLINE:

This is a dose escalation study.

Patients receive vasoactive intestinal peptide (VIP) IV over either 6 or 12 hours.

Cohorts of 3 patients each receive escalating doses of VIP o...",,,,,True,,,,,,,
train,5c8d0aa0431a,NCT00005779,"A Phase I, Limited-Center, Sequential Cohort Trial of HIV Vaccine (Polyvalent Peptide Vaccine C4-V3) in Conjunction With Interleukin-12 in Subjects With Maximal Suppression of HIV Replication and CD4 Count > 400 Cells/mm3",COMPLETED,PHASE1,HIV Infections,"DRUG: Interleukin-12, BIOLOGICAL: HIV-1 C4-V3 Polyvalent Peptide Vaccine",Other,https://clinicaltrials.gov/study/NCT00005779; PMID:26132818; PMID:30272013; PMID:38516300; PMID:9814956; https://openalex.org/W3158948330; https://doi.org/10.1016/j.vaccine.2003.06.003; https://doi.org/10.1097/00002030-200405210-00015; https://www.uniprot.org/uniprotkb/Q99665; https://www.uniprot.org/uniprotkb/P29460,clinicaltrials_gov:NCT00005779; PMID:26132818; PMID:30272013; PMID:38516300; PMID:9814956; openalex:https://doi.org/10.1016/j.crbiot.2021.04.003; crossref:DOI:10.1016/j.vaccine.2003.06.003; crossref:DOI:10.1097/00002030-200405210-00015; uniprot:Q99665; uniprot:P29460,"The purpose of this study is to see if it is safe to give C4-V3, a possible HIV vaccine, alone or in conjunction with 4 different doses of interleukin-12 (IL-12), to HIV-infected patients who are t...",Injection/Infusion,https://clinicaltrials.gov/study/NCT00005779; PMID:26132818; PMID:30272013; PMID:38516300; PMID:9814956; https://openalex.org/W3158948330; https://www.uniprot.org/uniprotkb/Q99665; https://www.uniprot.org/uniprotkb/P29460; https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5095343/; https://www.ebi.ac.uk/proteins/api/proteins/A0A060CYR5,clinicaltrials_gov:NCT00005779; PMID:26132818; PMID:30272013; PMID:38516300; PMID:9814956; openalex:https://doi.org/10.1016/j.crbiot.2021.04.003; uniprot:Q99665; uniprot:P29460; chembl:CHEMBL5095343; ebi_proteins:A0A060CYR5,"The purpose of this study is to see if it is safe to give C4-V3, a possible HIV vaccine, alone or in conjunction with 4 different doses of interleukin-12 (IL-12), to HIV-infected patients who are t...",Positive,https://clinicaltrials.gov/study/NCT00005779; PMID:26132818; PMID:30272013; PMID:38516300; PMID:9814956; https://openalex.org/W3158948330; https://doi.org/10.1016/j.vaccine.2003.06.003; https://doi.org/10.1097/00002030-200405210-00015; https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5095343/; https://www.uniprot.org/uniprotkb/Q99665,clinicaltrials_gov:NCT00005779; PMID:26132818; PMID:30272013; PMID:38516300; PMID:9814956; openalex:https://doi.org/10.1016/j.crbiot.2021.04.003; crossref:DOI:10.1016/j.vaccine.2003.06.003; crossref:DOI:10.1097/00002030-200405210-00015; chembl:CHEMBL5095343; uniprot:Q99665,"The purpose of this study is to see if it is safe to give C4-V3, a possible HIV vaccine, alone or in conjunction with 4 different doses of interleukin-12 (IL-12), to HIV-infected patients who are t...",,,,,True,,,,,,,
train,5c8d0aa0431a,NCT00027131,Vaccination Against High Risk Breast Cancer With Autologous Tumor-Derived Heat Shock Protein 70-Peptide Complexes (HSP70),TERMINATED,"PHASE1, PHASE2",Breast Neoplasms,BIOLOGICAL: Heat Shock Protein 70-peptide complexes (HSP70),Other,https://clinicaltrials.gov/study/NCT00027131; PMC:10819802; PMID:35887137; https://www.semanticscholar.org/paper/aa9d23514f07d836a59027804b284a674be4cf53; https://www.semanticscholar.org/paper/fcb5c16be4a4bdf691d76fa9e1ddb77e34c56089; PMID:10815887; https://doi.org/10.1016/b978-012442710-5/50073-3; https://doi.org/10.1006/meth.1997.0464; https://reporter.nih.gov/search/results/?text_terms=Heat+Shock+Protein+70-peptide+complexes+(HSP70),clinicaltrials_gov:NCT00027131; PMC:10819802; PMID:35887137; semantic_scholar:DOI:10.1200/jco.2022.40.16_suppl.tps1125; semantic_scholar:DOI:10.1158/1538-7445.am2023-3035; PMID:10815887; crossref:DOI:10.1016/b978-012442710-5/50073-3; crossref:DOI:10.1006/meth.1997.0464; nih_reporter:NIH:1R61NS138384-01A1; nih_reporter:NIH:5R01NS059690-18,Description: The trial is designed to determine the response of the immune system of patients with breast cancer to a vaccine made from their own tumor. Researchers believe that this particular vac...,Injection/Infusion,https://clinicaltrials.gov/study/NCT00027131; PMC:10819802; PMID:35887137; https://www.semanticscholar.org/paper/aa9d23514f07d836a59027804b284a674be4cf53; https://www.semanticscholar.org/paper/fcb5c16be4a4bdf691d76fa9e1ddb77e34c56089; PMID:10815887; https://reporter.nih.gov/search/results/?text_terms=Heat+Shock+Protein+70-peptide+complexes+(HSP70),clinicaltrials_gov:NCT00027131; PMC:10819802; PMID:35887137; semantic_scholar:DOI:10.1200/jco.2022.40.16_suppl.tps1125; semantic_scholar:DOI:10.1158/1538-7445.am2023-3035; PMID:10815887; nih_reporter:NIH:1R61NS138384-01A1; nih_reporter:NIH:5R01NS059690-18,Description: The trial is designed to determine the response of the immune system of patients with breast cancer to a vaccine made from their own tumor. Researchers believe that this particular vac...,Terminated,https://clinicaltrials.gov/study/NCT00027131; PMID:35887137; https://www.semanticscholar.org/paper/aa9d23514f07d836a59027804b284a674be4cf53; https://www.semanticscholar.org/paper/fcb5c16be4a4bdf691d76fa9e1ddb77e34c56089; PMID:10815887; https://doi.org/10.1016/b978-012442710-5/50073-3; https://doi.org/10.1006/meth.1997.0464; PMC:10819802; https://reporter.nih.gov/search/results/?text_terms=Heat+Shock+Protein+70-peptide+complexes+(HSP70),clinicaltrials_gov:NCT00027131; PMID:35887137; semantic_scholar:DOI:10.1200/jco.2022.40.16_suppl.tps1125; semantic_scholar:DOI:10.1158/1538-7445.am2023-3035; PMID:10815887; crossref:DOI:10.1016/b978-012442710-5/50073-3; crossref:DOI:10.1006/meth.1997.0464; PMC:10819802; nih_reporter:NIH:1R61NS138384-01A1; nih_reporter:NIH:5R01NS059690-18,Description: The trial is designed to determine the response of the immune system of patients with breast cancer to a vaccine made from their own tumor. Researchers believe that this particular vac...,Recruitment issues,,,,True,,,,,,,
train,5c8d0aa0431a,NCT00028431,An Open Label Study of MDX-CTLA4 in Combination With Tyrosinase/gp100/MART-1 Peptides Emulsified With Montanide ISA 51 in the Treatment of Patients With Resected Stage III or IV Melanoma,COMPLETED,PHASE1,Melanoma,BIOLOGICAL: MDX-CTLA4 Antibody; Tyrosinase/gp100/MART-1 Peptides Melanoma Vaccine,Other,https://clinicaltrials.gov/study/NCT00028431; PMID:35036074; PMID:32210956; PMID:40365296; PMID:34944809; PMID:38301413; PMC:5394116; PMC:4514024; https://reporter.nih.gov/search/results/?text_terms=MDX-CTLA4+Antibody;+Tyrosinase/gp100/MART-1+Peptides+Melanoma+Vaccine,clinicaltrials_gov:NCT00028431; PMID:35036074; PMID:32210956; PMID:40365296; PMID:34944809; PMID:38301413; PMC:5394116; PMC:4514024; nih_reporter:NIH:5R01CA140602-04; nih_reporter:NIH:5R01CA140602-03,"In the Phase I/II trial, patients with resected stages III and IV melanoma who have been rendered free of disease, but are at high risk of relapse, are treated with peptides/IFA at a dose of 0.5 mg...",Injection/Infusion,https://clinicaltrials.gov/study/NCT00028431,clinicaltrials_gov:NCT00028431,"In the Phase I/II trial, patients with resected stages III and IV melanoma who have been rendered free of disease, but are at high risk of relapse, are treated with peptides/IFA at a dose of 0.5 mg...",Positive,https://clinicaltrials.gov/study/NCT00028431; PMID:22190859; PMID:35463185; PMID:35036074; PMID:32210956; PMID:40365296; PMID:34944809; PMID:38301413; https://reporter.nih.gov/search/results/?text_terms=MDX-CTLA4+Antibody;+Tyrosinase/gp100/MART-1+Peptides+Melanoma+Vaccine,clinicaltrials_gov:NCT00028431; PMID:22190859; PMID:35463185; PMID:35036074; PMID:32210956; PMID:40365296; PMID:34944809; PMID:38301413; nih_reporter:NIH:5R01CA140602-04; nih_reporter:NIH:5R01CA140602-03,"In the Phase I/II trial, patients with resected stages III and IV melanoma who have been rendered free of disease, but are at high risk of relapse, are treated with peptides/IFA at a dose of 0.5 mg...",,,,,True,,,,,,,
train,5c8d0aa0431a,NCT00031044,A Randomized Phase I/II Placebo-controlled Study of Amdoxovir (DAPD) Versus Placebo Together With Enfuvirtide (T-20) Plus Optimized Background Therapy for HIV-Infected Subjects Failing Current Therapy,COMPLETED,"PHASE1, PHASE2",HIV Infections,"DRUG: Enfuvirtide, DRUG: Amdoxovir",Other,,,,Injection/Infusion,,,,Positive,https://clinicaltrials.gov/study/NCT00031044; PMID:21289125; PMID:16891628; PMID:15353984; PMID:14511246; PMID:12773645; PMID:31969328; PMID:40050074; https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL525076/; https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL458876/,clinicaltrials_gov:NCT00031044; PMID:21289125; PMID:16891628; PMID:15353984; PMID:14511246; PMID:12773645; PMID:31969328; PMID:40050074; chembl:CHEMBL525076; chembl:CHEMBL458876,"Despite the success of potent combination therapies in patients with limited or no prior antiretroviral therapy, clinical experience demonstrates that these regimens are less likely to achieve dura...",,,,,True,,,,,,,
